,round,net_armies,net_income,net_countries,net_continents,Random_1_armies,Random_1_income,Random_1_countries,Random_1_continents
0,0,16,17,6,3,0,3,0,0
1,0,18,17,6,3,0,3,0,0
2,4,26,17,6,3,0,3,0,0
3,9,66,17,6,3,0,3,0,0
4,0,10,17,6,3,0,3,0,0
5,5,27,17,6,3,0,3,0,0
6,0,25,17,6,3,0,3,0,0
7,7,74,17,6,3,0,3,0,0
8,1,7,17,6,3,0,3,0,0
9,0,9,17,6,3,0,3,0,0
10,2,13,17,6,3,0,3,0,0
11,2,21,17,6,3,0,3,0,0
12,0,15,17,6,3,0,3,0,0
13,2,11,17,6,3,0,3,0,0
14,0,13,17,6,3,0,3,0,0
15,19,115,17,6,3,0,3,0,0
16,13,139,17,6,3,0,3,0,0
17,0,17,17,6,3,0,3,0,0
18,2,12,17,6,3,0,3,0,0
19,0,9,17,6,3,0,3,0,0
20,3,0,3,0,0,23,17,6,3
21,10,82,17,6,3,0,3,0,0
22,0,8,17,6,3,0,3,0,0
23,0,9,17,6,3,0,3,0,0
24,0,16,17,6,3,0,3,0,0
25,3,14,17,6,3,0,3,0,0
26,2,24,17,6,3,0,3,0,0
27,14,165,17,6,3,0,3,0,0
28,7,69,17,6,3,0,3,0,0
29,0,24,17,6,3,0,3,0,0
30,4,33,17,6,3,0,3,0,0
31,0,15,17,6,3,0,3,0,0
32,5,21,17,6,3,0,3,0,0
33,1,19,17,6,3,0,3,0,0
34,0,11,17,6,3,0,3,0,0
35,1,16,17,6,3,0,3,0,0
36,3,20,17,6,3,0,3,0,0
37,0,11,17,6,3,0,3,0,0
38,0,0,3,0,0,13,17,6,3
39,0,10,17,6,3,0,3,0,0
40,0,8,17,6,3,0,3,0,0
41,2,12,17,6,3,0,3,0,0
42,7,85,17,6,3,0,3,0,0
43,8,56,17,6,3,0,3,0,0
44,0,19,17,6,3,0,3,0,0
45,0,18,17,6,3,0,3,0,0
46,0,14,17,6,3,0,3,0,0
47,0,10,17,6,3,0,3,0,0
48,0,11,17,6,3,0,3,0,0
49,0,19,17,6,3,0,3,0,0
50,6,0,3,0,0,31,17,6,3
51,0,10,17,6,3,0,3,0,0
52,2,10,17,6,3,0,3,0,0
53,0,7,17,6,3,0,3,0,0
54,0,15,17,6,3,0,3,0,0
55,1,10,17,6,3,0,3,0,0
56,2,19,17,6,3,0,3,0,0
57,2,33,17,6,3,0,3,0,0
58,0,21,17,6,3,0,3,0,0
59,0,11,17,6,3,0,3,0,0
60,7,22,17,6,3,0,3,0,0
61,2,24,17,6,3,0,3,0,0
62,4,20,17,6,3,0,3,0,0
63,7,58,17,6,3,0,3,0,0
64,2,12,17,6,3,0,3,0,0
65,0,15,17,6,3,0,3,0,0
66,13,134,17,6,3,0,3,0,0
67,4,47,17,6,3,0,3,0,0
68,0,16,17,6,3,0,3,0,0
69,0,10,17,6,3,0,3,0,0
70,0,14,17,6,3,0,3,0,0
71,3,21,17,6,3,0,3,0,0
72,0,11,17,6,3,0,3,0,0
73,0,23,17,6,3,0,3,0,0
74,0,21,17,6,3,0,3,0,0
75,2,21,17,6,3,0,3,0,0
76,10,12,17,6,3,0,3,0,0
77,0,11,17,6,3,0,3,0,0
78,4,26,17,6,3,0,3,0,0
79,3,0,3,0,0,33,17,6,3
80,1,14,17,6,3,0,3,0,0
81,3,28,17,6,3,0,3,0,0
82,0,14,17,6,3,0,3,0,0
83,2,7,17,6,3,0,3,0,0
84,0,12,17,6,3,0,3,0,0
85,0,18,17,6,3,0,3,0,0
86,0,13,17,6,3,0,3,0,0
87,1,18,17,6,3,0,3,0,0
88,0,23,17,6,3,0,3,0,0
89,0,11,17,6,3,0,3,0,0
90,0,12,17,6,3,0,3,0,0
91,0,8,17,6,3,0,3,0,0
92,2,37,17,6,3,0,3,0,0
93,0,20,17,6,3,0,3,0,0
94,0,15,17,6,3,0,3,0,0
95,0,17,17,6,3,0,3,0,0
96,0,24,17,6,3,0,3,0,0
97,0,13,17,6,3,0,3,0,0
98,3,35,17,6,3,0,3,0,0
99,2,12,17,6,3,0,3,0,0
