,round,Random_0_armies,Random_0_income,Random_0_countries,Random_0_continents,net_armies,net_income,net_countries,net_continents
0,4,0,3,0,0,7,17,6,3
1,8,34,17,6,3,0,3,0,0
2,2,18,17,6,3,0,3,0,0
3,16,52,17,6,3,0,3,0,0
4,3,0,3,0,0,22,17,6,3
5,0,20,17,6,3,0,3,0,0
6,5,0,3,0,0,22,17,6,3
7,9,14,17,6,3,0,3,0,0
8,0,0,3,0,0,8,17,6,3
9,1,16,17,6,3,0,3,0,0
10,5,51,17,6,3,0,3,0,0
11,2,0,3,0,0,8,17,6,3
12,6,0,3,0,0,72,17,6,3
13,1,13,17,6,3,0,3,0,0
14,6,0,3,0,0,11,17,6,3
15,2,15,17,6,3,0,3,0,0
16,1,21,17,6,3,0,3,0,0
17,0,8,17,6,3,0,3,0,0
18,4,0,3,0,0,9,17,6,3
19,10,0,3,0,0,10,17,6,3
20,4,0,3,0,0,40,17,6,3
21,2,0,3,0,0,29,17,6,3
22,2,0,3,0,0,15,17,6,3
23,6,0,3,0,0,27,17,6,3
24,5,0,3,0,0,25,17,6,3
25,6,0,3,0,0,64,17,6,3
26,6,86,17,6,3,0,3,0,0
27,1,0,3,0,0,9,17,6,3
28,1,0,3,0,0,14,17,6,3
29,4,0,3,0,0,30,17,6,3
30,4,13,17,6,3,0,3,0,0
31,1,30,17,6,3,0,3,0,0
32,3,22,17,6,3,0,3,0,0
33,3,29,17,6,3,0,3,0,0
34,4,0,3,0,0,10,17,6,3
35,4,0,3,0,0,33,17,6,3
36,27,143,17,6,3,0,3,0,0
37,1,0,3,0,0,6,17,6,3
38,0,0,3,0,0,15,17,6,3
39,2,0,3,0,0,8,17,6,3
40,3,0,3,0,0,40,17,6,3
41,0,10,17,6,3,0,3,0,0
42,1,25,17,6,3,0,3,0,0
43,3,0,3,0,0,21,17,6,3
44,5,0,3,0,0,67,17,6,3
45,7,0,3,0,0,44,17,6,3
46,1,0,3,0,0,7,17,6,3
47,2,0,3,0,0,32,17,6,3
48,1,14,17,6,3,0,3,0,0
49,3,0,3,0,0,9,17,6,3
50,7,0,3,0,0,44,17,6,3
51,2,0,3,0,0,43,17,6,3
52,2,0,3,0,0,8,17,6,3
53,0,0,3,0,0,10,17,6,3
54,15,88,17,6,3,0,3,0,0
55,4,0,3,0,0,35,17,6,3
56,1,14,17,6,3,0,3,0,0
57,12,0,3,0,0,28,17,6,3
58,2,0,3,0,0,17,17,6,3
59,1,0,3,0,0,7,17,6,3
60,4,0,3,0,0,10,17,6,3
61,1,0,3,0,0,22,17,6,3
62,2,0,3,0,0,13,17,6,3
63,4,0,3,0,0,11,17,6,3
64,5,63,17,6,3,0,3,0,0
65,13,0,3,0,0,141,17,6,3
66,4,0,3,0,0,32,17,6,3
67,3,0,3,0,0,10,17,6,3
68,2,0,3,0,0,34,17,6,3
69,3,0,3,0,0,23,17,6,3
70,12,125,17,6,3,0,3,0,0
71,8,0,3,0,0,20,17,6,3
72,1,0,3,0,0,15,17,6,3
73,3,0,3,0,0,36,17,6,3
74,3,0,3,0,0,27,17,6,3
75,4,0,3,0,0,25,17,6,3
76,2,0,3,0,0,7,17,6,3
77,2,26,17,6,3,0,3,0,0
78,7,0,3,0,0,9,17,6,3
79,4,0,3,0,0,16,17,6,3
80,2,0,3,0,0,7,17,6,3
81,10,0,3,0,0,21,17,6,3
82,3,16,17,6,3,0,3,0,0
83,4,73,17,6,3,0,3,0,0
84,2,23,17,6,3,0,3,0,0
85,4,48,17,6,3,0,3,0,0
86,2,19,17,6,3,0,3,0,0
87,6,0,3,0,0,22,17,6,3
88,2,0,3,0,0,18,17,6,3
89,0,10,17,6,3,0,3,0,0
90,2,0,3,0,0,22,17,6,3
91,2,25,17,6,3,0,3,0,0
92,4,0,3,0,0,31,17,6,3
93,0,17,17,6,3,0,3,0,0
94,2,0,3,0,0,15,17,6,3
95,4,49,17,6,3,0,3,0,0
96,5,0,3,0,0,42,17,6,3
97,10,0,3,0,0,30,17,6,3
98,3,0,3,0,0,8,17,6,3
99,0,19,17,6,3,0,3,0,0
